1,M1FM,143,Jeff Kiesel,2020 KFR Turbo Sprite,,39.632,*0.908,35.985,0,0
2,PAXFM,94,Zak Kiesel,2021 KFR Ebon Hawk,,40.21,*0.908,36.51,0.525,0.525
3,CAMT,180,Mike Hogate,1971 Chevrolet Camaro,SCNAX,45.127,*0.816,36.823,0.313,0.838
4,STR,980,Jason Munchhof,2008 Honda S2000,SCNAX,44.88,*0.828,37.16,0.337,1.175
5,DS,134,David Webb,2018 Subaru WRX,,46.287,*0.807,37.353,0.193,1.368
6,CAMT,663,Chris Humphreys,1973 Chevrolet Camaro,,45.782,*0.816,37.358,0.005,1.373
7,CS,10,Scott Lewis,2017 Mazda MX5,SCAT,46.317,*0.810,37.516,0.158,1.531
8,CAMC,856,Will Flores,2017 Chevrolet Camaro 1LE,SCNAX,45.856,*0.819,37.556,0.04,1.571
9,PAXLEM,43,Shawn Kiesel,2020 KFR Turbo Sprite,,41.415,*0.909,37.646,0.09,1.661
10,STR,4,Nima Abrahim,2017 Mazda Miata,SCAT,45.664,*0.828,37.809,0.163,1.824
11,HS,193,Sean Velandia,2014 Mazda 6,,48.177,*0.786,37.867,0.058,1.882
12,HS,30,Greg Woelke,2017 Ford Feista ST,SCAT,48.22,*0.786,37.9,0.033,1.915
13,CAMT,14,Bry Morris,1971 Ford maverick,DCCSD,46.669,*0.816,38.081,0.181,2.096
14,CAMT,60,Jim McNeill,1971 Chevrolet Camaro,,46.772,*0.816,38.166,0.085,2.181
15,CAMC,562,Chris McDaniel,2019 Chevrolet Camaro 1le,,46.619,*0.819,38.181,0.015,2.196
16,CAMT,540,Fred Fogerty,1971 Chevrolet Camaro,DCCSD,46.949,*0.816,38.31,0.129,2.325
17,SM,747,Jonathan Fudge,2000 Subaru 2.5RSTI,,44.199,*0.868,38.364,0.054,2.379
18,DS,473,Mindi Cross,2008 Subaru WRX,,47.556,*0.807,38.377,0.013,2.392
19,AS,122,Stephen Hare,2003 Chevrolet Corvette ZO6,,46.963,*0.821,38.556,0.179,2.571
20,HS,139,Ken Suzuki,2014 Mazda 6,,49.488,*0.786,38.897,0.341,2.912
21,CS,1110,Teddie Alexandrova,2017 Mazda MX-5,,48.361,*0.810,39.172,0.275,3.187
22,FS,3,Hank Yamfang,2016 Ford Mustang,SCNAX,48.345,*0.814,39.352,0.18,3.367
23,XSEV,369,Jonathan Bickford,2020 Tesla Model 3 performance,,47.174,*0.835,39.39,0.038,3.405
24,STR,513,Aidan Giunta,2007 Mazda MX-5 Miata,,47.933,*0.828,39.688,0.298,3.703
25,M1DM,17,David Laird,1962 Lotus Super7,DCCSD,44.346,*0.898,39.822,0.134,3.837
26,XSXB,251,Mark Mervich,2006 Mazda Miata,SCAT,46.877,*0.851,39.892,0.07,3.907
27,P1DP,67,Robbie Robinson,1967 Lotus Elan,,46.158,*0.865,39.926,0.034,3.941
28,CAMT,208,Austin Bittle,2003 Ford Mustang,,48.992,*0.816,39.977,0.051,3.992
29,P1DP,167,Darlene Pittman,1967 Lotus Elan,,46.294,*0.865,40.044,0.067,4.059
30,CAMT,185,Scott Chamberlain,1985 Ford LTD LX,,49.189,*0.816,40.138,0.094,4.153
31,SM,925,Ethan Fudge,2000 Subaru 2.5RSTI,SCNAX,46.325,*0.868,40.21,0.072,4.225
32,XSXA,38,Richard Senior,2016 Porsche GT4,SCNAX,47.975,*0.842,40.395,0.185,4.41
33,XSXA,718,Seth Maheu,2022 Porsche 718 GT4,,47.997,*0.842,40.413,0.018,4.428
34,CAMC,111,Jonathan Rose,2019 Ford Mustang GT,,49.613,*0.819,40.633,0.22,4.648
35,XSXA,808,Dennis Trevino,2019 Honda Civic Type R,SCNAX,48.294,*0.842,40.663,0.03,4.678
36,STS,474,Jon Nottage,2018 Mazda Mazda6,DCCSD,50.041,*0.813,40.683,0.02,4.698
37,ESP,51,Michael  Bagnas,2019 Ford Mustang Bullitt,,48.702,*0.840,40.909,0.226,4.924
38,CSP,537,George Pollock,1982 Mazda RX7 GSL,,47.423,*0.864,40.973,0.064,4.988
39,DS,102,Corey Brigner,2020 Subaru Wrx,,51.005,*0.807,41.161,0.188,5.176
40,FS,73,Yik-Jong Harry Lam,2005 Chrysler Crossfire SRT-6,SCNAX,50.692,*0.814,41.263,0.102,5.278
41,CAMT,59,Joe Roach,1966 Plymouth Barracuda,,50.781,*0.816,41.437,0.174,5.452
42,ESP,699,Ewald Polifrone,2011 BMW M3,,49.394,*0.840,41.491,0.054,5.506
43,ESP,616,Jonah Rennie,1994 Lexus SC400,,49.605,*0.840,41.668,0.177,5.683
44,DSP,717,Sam Rezai,2012 BMW 328i,,49.659,*0.844,41.912,0.244,5.927
45,STS,401,Ashley Wille,2018 Mazda Mazda6,DCCSD,52.186,*0.813,42.427,0.515,6.442
46,FS,13,Erica Yamfang,2016 Ford Mustang,SCNAX,52.228,*0.814,42.513,0.086,6.528
47,STS,867,Dan Stapleton,1999 Mazda Miata,,52.465,*0.813,42.654,0.141,6.669
48,ES,690,Dalton Williams,1999 Mazda Miata,,53.951,*0.792,42.729,0.075,6.744
49,XSXA,131,Andrew Hollands,2012 Subaru WRX,SCNAX,50.768,*0.842,42.746,0.017,6.761
50,CSP,236,Mitchel Summers,2003 Mazda Miata,SCAT,49.504,*0.864,42.771,0.025,6.786
51,CAMT,214,Kraig Carson,1971 Chevrolet Camaro,,52.444,*0.816,42.794,0.023,6.809
52,ESP,612,Jacob Danielson,1993 Pontiac Firebird Formula,,51.119,*0.840,42.94,0.146,6.955
53,ESP,233,Bob Hospodar,2000 Ford Mustang GT,,51.276,*0.840,43.071,0.131,7.086
54,STU,125,Dona Ly,2020 BMW M2 Competition,,52.18,*0.829,43.257,0.186,7.272
55,SSM,647,Doug Johnson,2017 Chevrolet Z06,,49.121,*0.883,43.373,0.116,7.388
56,ESP,50,Kent Hall,1991 Ford Mustang,,52.139,*0.840,43.796,0.423,7.811
57,NSTU,350,Ryan Kennedy,2004 Nissan 350Z,,53.488,*0.829,44.341,0.545,8.356
58,DSP,451,David Bauer,1994 Honda Prelude,,53.541,*0.844,45.188,0.847,9.203
59,NSTU,136,Dan Plinski,2018 BMNW M240ix,,54.542,*0.829,45.215,0.027,9.23
60,CAMT,303,Austin Monteverde,1955 Ford F100,,55.77,*0.816,45.508,0.293,9.523
61,STH,902,Fidel Trujillo,2020 Hyundai Veloster N,,56.139,*0.812,45.584,0.076,9.599
62,ESP,104,Samantha Lei,2017 Cadillac ATS-V,,54.898,*0.840,46.114,0.53,10.129
63,NSTU,300,Lexie Kennedy,2004 Nissan 350Z,,61.637,*0.829,51.097,4.983,15.112
64,SU,98,John De Vries,1994 Chevy Corvette,SCAT,58.662,*0.883,51.798,0.701,15.813
